,informasi_balai_mangrove,informasi_pantai,informasi_pantai_kura_kura,informasi_pantai_penyisok,informasi_pantai_pink,informasi_pantai_tanjung_ringgit,informasi_wisata,notfound,sampai_jumpa,selamat_datang
informasi_balai_mangrove,2,0,0,0,0,0,0,0,0,0
informasi_pantai,0,4,0,0,0,0,0,0,0,0
informasi_pantai_kura_kura,0,0,2,0,1,0,0,0,0,0
informasi_pantai_penyisok,0,0,0,3,0,0,0,0,0,0
informasi_pantai_pink,0,0,0,0,1,0,0,0,0,0
informasi_pantai_tanjung_ringgit,0,0,0,0,0,3,0,0,0,0
informasi_wisata,0,0,0,0,0,0,2,0,0,0
notfound,0,0,0,0,0,0,0,1,0,0
sampai_jumpa,0,0,0,0,0,0,0,2,3,0
selamat_datang,0,0,0,0,0,0,0,0,1,1
